customer_id,email,signup_date,country
cus_00000,user0@example.com,2023-06-22 22:43:23,AU
cus_00001,user1@example.com,2023-02-08 20:28:06,DE
cus_00002,user2@example.com,2024-03-03 05:50:10,GB
cus_00003,user3@example.com,2024-01-16 10:13:48,DE
cus_00004,user4@example.com,2023-12-13 17:53:58,DE
cus_00005,user5@example.com,2023-08-05 18:21:03,CA
cus_00006,user6@example.com,2023-06-09 05:17:49,GB
cus_00007,user7@example.com,2025-04-27 04:44:17,GB
cus_00008,user8@example.com,2023-05-16 01:18:52,GB
cus_00009,user9@example.com,2025-07-06 07:09:23,DE
cus_00010,user10@example.com,2024-10-17 10:23:08,AU
cus_00011,user11@example.com,2023-02-19 08:56:39,GB
cus_00012,user12@example.com,2023-02-16 06:55:15,DE
cus_00013,user13@example.com,2023-05-26 13:12:42,CA
cus_00014,user14@example.com,2023-12-06 15:24:52,AU
cus_00015,user15@example.com,2023-12-28 10:13:36,CA
cus_00016,user16@example.com,2025-02-24 01:00:38,AU
cus_00017,user17@example.com,2023-02-11 05:19:57,DE
cus_00018,user18@example.com,2025-05-21 20:43:57,US
cus_00019,user19@example.com,2023-11-05 21:12:17,AU
cus_00020,user20@example.com,2025-04-26 12:53:27,CA
cus_00021,user21@example.com,2024-10-13 16:49:57,DE
cus_00022,user22@example.com,2023-12-09 10:37:19,AU
cus_00023,user23@example.com,2024-11-28 19:43:37,US
cus_00024,user24@example.com,2025-07-04 09:25:01,US
cus_00025,user25@example.com,2024-03-08 03:42:04,GB
cus_00026,user26@example.com,2023-01-11 02:17:28,GB
cus_00027,user27@example.com,2023-09-06 00:31:50,CA
cus_00028,user28@example.com,2024-10-18 12:12:24,AU
cus_00029,user29@example.com,2024-06-12 13:27:31,AU
cus_00030,user30@example.com,2024-03-07 15:47:40,GB
cus_00031,user31@example.com,2023-08-30 12:41:45,AU
cus_00032,user32@example.com,2023-12-01 11:28:43,AU
cus_00033,user33@example.com,2024-06-06 21:09:15,US
cus_00034,user34@example.com,2023-06-08 18:40:31,GB
cus_00035,user35@example.com,2023-05-25 01:48:56,DE
cus_00036,user36@example.com,2024-08-13 04:42:59,GB
cus_00037,user37@example.com,2023-05-31 05:50:52,DE
cus_00038,user38@example.com,2024-07-11 15:43:16,US
cus_00039,user39@example.com,2024-06-18 07:35:55,CA
cus_00040,user40@example.com,2024-02-15 22:03:09,AU
cus_00041,user41@example.com,2023-03-09 11:56:59,US
cus_00042,user42@example.com,2024-12-14 16:36:03,AU
cus_00043,user43@example.com,2025-04-13 00:01:56,CA
cus_00044,user44@example.com,2023-07-13 21:51:23,CA
cus_00045,user45@example.com,2024-08-11 00:47:04,US
cus_00046,user46@example.com,2023-05-03 09:53:03,CA
cus_00047,user47@example.com,2025-05-07 13:33:59,DE
cus_00048,user48@example.com,2024-03-31 10:28:42,CA
cus_00049,user49@example.com,2024-07-15 18:43:51,AU
cus_00050,user50@example.com,2025-06-15 21:14:53,AU
cus_00051,user51@example.com,2023-10-26 17:02:17,AU
cus_00052,user52@example.com,2023-04-19 01:12:14,AU
cus_00053,user53@example.com,2023-03-13 04:27:24,DE
cus_00054,user54@example.com,2023-12-21 00:39:48,GB
cus_00055,user55@example.com,2024-03-25 13:09:54,US
cus_00056,user56@example.com,2023-05-04 22:51:37,AU
cus_00057,user57@example.com,2023-12-28 15:04:23,CA
cus_00058,user58@example.com,2023-06-06 21:36:22,AU
cus_00059,user59@example.com,2024-08-13 12:07:58,CA
cus_00060,user60@example.com,2024-03-07 19:36:25,CA
cus_00061,user61@example.com,2024-12-05 08:21:40,AU
cus_00062,user62@example.com,2024-07-20 17:55:46,DE
cus_00063,user63@example.com,2023-09-10 16:11:03,CA
cus_00064,user64@example.com,2024-07-29 01:20:48,CA
cus_00065,user65@example.com,2024-07-05 21:27:06,AU
cus_00066,user66@example.com,2023-11-22 10:59:17,CA
cus_00067,user67@example.com,2024-02-19 17:39:16,CA
cus_00068,user68@example.com,2023-04-21 22:04:42,AU
cus_00069,user69@example.com,2023-09-23 20:30:40,AU
cus_00070,user70@example.com,2025-04-09 18:10:40,US
cus_00071,user71@example.com,2024-01-16 07:12:46,DE
cus_00072,user72@example.com,2023-09-11 20:05:11,DE
cus_00073,user73@example.com,2024-12-19 02:18:35,CA
cus_00074,user74@example.com,2024-08-12 11:07:27,DE
cus_00075,user75@example.com,2024-02-24 08:23:03,CA
cus_00076,user76@example.com,2025-05-15 04:35:29,US
cus_00077,user77@example.com,2023-12-08 03:50:49,AU
cus_00078,user78@example.com,2024-05-18 18:08:11,AU
cus_00079,user79@example.com,2023-03-28 21:31:04,AU
cus_00080,user80@example.com,2023-12-22 19:31:51,DE
cus_00081,user81@example.com,2023-02-19 20:47:01,US
cus_00082,user82@example.com,2024-05-05 00:56:31,DE
cus_00083,user83@example.com,2024-09-15 04:30:26,DE
cus_00084,user84@example.com,2024-02-20 22:06:12,US
cus_00085,user85@example.com,2023-04-13 19:41:24,US
cus_00086,user86@example.com,2023-11-24 18:00:37,US
cus_00087,user87@example.com,2025-05-31 02:00:17,US
cus_00088,user88@example.com,2024-05-03 20:02:30,AU
cus_00089,user89@example.com,2023-11-27 07:17:31,GB
cus_00090,user90@example.com,2025-02-14 12:41:25,GB
cus_00091,user91@example.com,2024-09-06 14:13:34,US
cus_00092,user92@example.com,2024-12-13 19:14:13,GB
cus_00093,user93@example.com,2023-08-10 22:38:20,GB
cus_00094,user94@example.com,2024-02-16 11:26:54,US
cus_00095,user95@example.com,2023-08-05 21:47:44,GB
cus_00096,user96@example.com,2024-01-19 02:56:23,DE
cus_00097,user97@example.com,2025-05-22 01:19:15,CA
cus_00098,user98@example.com,2025-04-17 06:31:47,CA
cus_00099,user99@example.com,2024-02-13 03:43:01,US
cus_00100,user100@example.com,2025-06-27 02:56:43,AU
cus_00101,user101@example.com,2024-10-27 13:10:14,US
cus_00102,user102@example.com,2025-06-25 11:41:03,AU
cus_00103,user103@example.com,2024-09-12 10:43:48,CA
cus_00104,user104@example.com,2024-07-16 08:12:20,US
cus_00105,user105@example.com,2023-12-07 16:52:13,DE
cus_00106,user106@example.com,2023-08-03 21:22:52,GB
cus_00107,user107@example.com,2025-03-02 12:31:01,AU
